Identifier	Participant ID	count	Age.Band	Gender	keep	Expected Kinterm	Compositional Analysis	Which term was provided?	Reciprocal relationship	Task	correct_comp	correct_prod	correct	Referent_ID	Term	Task2	Kin.distance	Genealogical.distance	Half.sibling.merger	Same.sex.sibling.merger	Step.kin.merger	Task_name	Task_name2	Task_name3	Same-sex Sib Merger
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S+2H	pugarli	1	2	FALSE	FALSE	FALSE	Referent 47	MFBDS > MFDS > MZS > MS > B	2	1	5	2	2	0	production	inapposite	production	2
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kawu by marriage	2 + 1S + 1M	kawu	NA	2	FALSE	TRUE	TRUE	Referent 48	MFBW > MFW > MM	2	2	4	0	1	1	production	inapposite	production	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	kaka 2	4	nginarr	NA	2	FALSE	FALSE	FALSE	Referent 49	FMBS	2	4	4	0	0	0	production	inapposite	production	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	wakal	1 + 1S	wakal	0	3	FALSE	TRUE	TRUE	Referent 50	MZ > M	3	1	2	0	1	0	altercentricity	inapposite	altercentric production	1
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	wakal, muluk, nginarr	4	nginarr	1	3	FALSE	TRUE	TRUE	Referent 51	MFZS yile 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 18	Participant 2	2	C 10;7_13;3	M	TRUE	wakal, muluk	4	nginarr	0	3	FALSE	FALSE	FALSE	Referent 53	FFZD  kale 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 54	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 30	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	ngathan 1	1 + 2S	paba	NA	1	TRUE	TRUE	TRUE	Referent 32	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	wakal, muluk, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 33	FZDS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	nangkun	5	nangkun	NA	1	TRUE	TRUE	TRUE	Referent 34	MMBDS	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kawu	2	kawu	NA	1	TRUE	TRUE	TRUE	Referent 35	MM	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	thamuny 2	3	*	NA	1	TRUE	TRUE	TRUE	Referent 7	MFZ	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	pipi, nginarr	4	*	NA	1	FALSE	FALSE	FALSE	Referent 36	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kaka 1	2 + 1S+1H	kaka	NA	1	TRUE	TRUE	TRUE	Referent 37	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kawu by marriage	3 + 1S + 1M	kakurl	NA	1	TRUE	TRUE	TRUE	Referent 6	MFZHB > MFZH > MMB	1	3	5	0	1	1	comprehension	inapposite	comprehension	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	yile	1 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 38	FMZS > FMS > FB > F	1	1	4	1	2	0	comprehension	apposite	comprehension	2
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	ngathan 2	5	*	NA	1	TRUE	TRUE	TRUE	Referent 39	MFZSS	1	5	5	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	mangka	2 + 1S	nginarr	NA	1	FALSE	FALSE	FALSE	Referent 40	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	thamuny by marriage	3 + 1M	nginarr	NA	1	TRUE	TRUE	TRUE	Referent 41	FFZH > FMB	1	3	4	0	0	1	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	ngathan 2 and kaka	5	paba	NA	1	TRUE	TRUE	TRUE	Referent 42	FMBDS and MFBS > MFS > MB	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kawu	4	*	NA	1	TRUE	TRUE	TRUE	Referent 43	MMB	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	munak 2	5	munak	NA	1	TRUE	TRUE	TRUE	Referent 5	MFZSD	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kale 1	1 + 2S+1H	mama	NA	2	NA	TRUE	TRUE	Referent 44	MFBD > MFD > MZ > M	2	1	4	1	2	0	production	inapposite	production	2
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kaka 2	4	dedi	NA	2	NA	FALSE	FALSE	Referent 45	FFZS	2	4	4	0	0	0	production	inapposite	production	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	yile	1 + 2S+1H	yile	NA	2	NA	TRUE	TRUE	Referent 46	FFBS > FFS > FB > F	2	1	4	1	2	0	production	inapposite	production	2
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	ngathan 1	1 + 2S+2H	kaka	1	2	NA	FALSE	FALSE	Referent 47	MFBDS > MFDS > MZS > MS > B	2	1	5	2	2	0	production	inapposite	production	2
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kawu by marriage	2 + 1S + 1M	kawu	NA	2	NA	TRUE	TRUE	Referent 48	MFBW > MFW > MM	2	2	4	0	1	1	production	inapposite	production	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	kaka 2	4	?arluk	NA	2	NA	FALSE	FALSE	Referent 49	FMBS	2	4	4	0	0	0	production	inapposite	production	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	wakal	1 + 1S	wakal	NA	3	NA	TRUE	TRUE	Referent 50	MZ > M	3	1	2	0	1	0	altercentricity	inapposite	altercentric production	1
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	wakal, muluk, nginarr	4	nginarr	1	3	NA	TRUE	TRUE	Referent 51	MFZS yile 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 12	Participant 3	3	B 7;10_10;6	M	TRUE	wakal, muluk	4	pipi	NA	3	NA	FALSE	FALSE	Referent 53	FFZD  kale 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 54	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 30	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	pipi	2	*	NA	1	TRUE	TRUE	TRUE	Referent 31	FZ	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	ngathan 1	1 + 2S	paba	NA	1	TRUE	TRUE	TRUE	Referent 32	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	wakal, muluk, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 33	FZDS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	nangkun	5	nangkun	NA	1	TRUE	TRUE	TRUE	Referent 34	MMBDS	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kawu	2	*	NA	1	FALSE	FALSE	FALSE	Referent 35	MM	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	thamuny 2	3	*	NA	1	TRUE	TRUE	TRUE	Referent 7	MFZ	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	pipi, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 36	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kaka 1	2 + 1S+1H	*	NA	1	FALSE	FALSE	FALSE	Referent 37	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kawu by marriage	3 + 1S + 1M	*	NA	1	FALSE	FALSE	FALSE	Referent 6	MFZHB > MFZH > MMB	1	3	5	0	1	1	comprehension	inapposite	comprehension	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	yile	1 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 38	FMZS > FMS > FB > F	1	1	4	1	2	0	comprehension	apposite	comprehension	2
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	ngathan 2	5	*	NA	1	TRUE	TRUE	TRUE	Referent 39	MFZSS	1	5	5	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 40	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	thamuny by marriage	3 + 1M	tyabutj	NA	1	TRUE	TRUE	TRUE	Referent 41	FFZH > FMB	1	3	4	0	0	1	comprehension	inapposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kawu	4	*	NA	1	TRUE	TRUE	TRUE	Referent 43	MMB	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	munak 2	5	*	NA	1	FALSE	FALSE	FALSE	Referent 5	MFZSD	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kale 1	1 + 2S+1H	*	NA	2	NA	FALSE	FALSE	Referent 44	MFBD > MFD > MZ > M	2	1	4	1	2	0	production	inapposite	production	2
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kaka 2	4	arluk	NA	2	NA	FALSE	FALSE	Referent 45	FFZS	2	4	4	0	0	0	production	inapposite	production	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	yile	1 + 2S+1H	kaka	NA	2	NA	FALSE	FALSE	Referent 46	FFBS > FFS > FB > F	2	1	4	1	2	0	production	inapposite	production	2
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	ngathan 1	1 + 2S+2H	pule	1	2	NA	TRUE	TRUE	Referent 47	MFBDS > MFDS > MZS > MS > B	2	1	5	2	2	0	production	inapposite	production	2
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kawu by marriage	2 + 1S + 1M	kawu	NA	2	NA	TRUE	TRUE	Referent 48	MFBW > MFW > MM	2	2	4	0	1	1	production	inapposite	production	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	kaka 2	4	agurluk	NA	2	NA	FALSE	FALSE	Referent 49	FMBS	2	4	4	0	0	0	production	inapposite	production	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	wakal	1 + 1S	*	NA	3	NA	FALSE	FALSE	Referent 50	MZ > M	3	1	2	0	1	0	altercentricity	inapposite	altercentric production	1
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	wakal, muluk, nginarr	4	nginarr	1	3	NA	TRUE	TRUE	Referent 51	MFZS yile 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 23	Participant 4	4	A 5_7;9	M	TRUE	wakal, muluk	4	*	NA	3	NA	FALSE	FALSE	Referent 53	FFZD  kale 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 29	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 30	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	pipi	2	*	NA	1	TRUE	TRUE	TRUE	Referent 31	FZ	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 32	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	wakal, muluk, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 33	FZDS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	nangkun	5	*	NA	1	TRUE	TRUE	TRUE	Referent 34	MMBDS	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kawu	2	*	NA	1	TRUE	TRUE	TRUE	Referent 35	MM	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	thamuny 2	3	*	NA	1	TRUE	TRUE	TRUE	Referent 7	MFZ	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	pipi, nginarr	4	*	NA	1	TRUE	TRUE	TRUE	Referent 36	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kaka 1	2 + 1S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 37	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kawu by marriage	3 + 1S + 1M	kakul	NA	1	TRUE	TRUE	TRUE	Referent 6	MFZHB > MFZH > MMB	1	3	5	0	1	1	comprehension	inapposite	comprehension	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	yile	1 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 38	FMZS > FMS > FB > F	1	1	4	1	2	0	comprehension	apposite	comprehension	2
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	ngathan 2	5	*	NA	1	TRUE	TRUE	TRUE	Referent 39	MFZSS	1	5	5	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	mangka	2 + 1S	*	NA	1	FALSE	FALSE	FALSE	Referent 40	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	thamuny by marriage	3 + 1M	*	NA	1	TRUE	TRUE	TRUE	Referent 41	FFZH > FMB	1	3	4	0	0	1	comprehension	inapposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	ngathan 2 and kaka	2 + 1S+1H	kaka	NA	1	TRUE	TRUE	TRUE	Referent 42	FMBDS and MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kawu	4	*	NA	1	TRUE	TRUE	TRUE	Referent 43	MMB	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	munak 2	5	mumak	NA	1	TRUE	TRUE	TRUE	Referent 5	MFZSD	1	5	5	0	0	0	comprehension	inapposite	comprehension	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kale 1	1 + 2S+1H	kale	NA	2	NA	TRUE	TRUE	Referent 44	MFBD > MFD > MZ > M	2	1	4	1	2	0	production	inapposite	production	2
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kaka 2	4	ngawurluk	NA	2	NA	FALSE	FALSE	Referent 45	FFZS	2	4	4	0	0	0	production	inapposite	production	0
